rationale_id,agg,rank-elaborate,rank-simple,rank-baseline,rank-static,rationale,about elaborate,about simple,about baseline,about static,Overall,posTag,negTag
1,max,2,2,3,1,it's better to show maximum by only deleting other lower dots,,,,,deleting_other_dots,,Animation Unnecessary
2,iqr,2,1,3,4,Similar to the previous problem. I liked seeing the different colors for the first one and the relationship between all the transitions. I also liked #2 but wasn't sure what the dots moving represented. 3 and four were too fast for me to understand.,bad:cannot_understand,good:colors,bad:too_fast,bad:too_fast,,,
3,median,2,1,3,4,"1st) gives a good idea of splitting the dataset into halves and then taking the average of the middle 2 elements.2nd) same as above, but visually cluttered.3rd) doesn't give an idea of taking average between two middle elements, but seems to just add a new element instead4th) no correlation without inference",bad:cluttered,good:separating,bad:hard-to-tell-what-it-is,bad:hard-to-tell-what-it-is,,Clear metaphor,
4,iqr,2,1,3,4,"1st) splits the dataset into quarters, then identifies the quartile marks and shows a transition to the range.2nd) same as first, but extra clutter3rd) unclear that it's not standard deviation without knowing that the upper and bottom side had to be equal lengths4th) no correlation without inference/description",bad:cluttered,good:separating,bad:unclear,bad:no-meaning,,,
5,stdev,3,2,1,4,"The top ranked one kept the points in place, which made it easier to see what the line and shaded area meant. The next two collapsed the points, so it was harder to understand.",bad:collapse-points,bad:collapse-points,good:keep-points,,,,
6,median,2,1,3,4,"I like that the one I ranked 1st marked the median before transitioning, so I could see that there were equal numbers of points above and below that point. The 2nd ranked one did a similar thing, although it was more complicated. The 3rd and the 4th make it harder to see that the median has the same number of points above and below it.",bad:complicate,good:separating,,,,,
7,iqr,2,1,3,4,"The top one left the points in place long enough to see how they were grouped. The 2nd ranked one did the same thing in a more complicated way. The 3rd one didn't group the points by color, which made it a little less clear, and the 4th one was too abrupt.",bad:complicate,good:separating,bad:no-color,bad:abrupt,,,
8,min,2,2,3,1,it's better to show minimum by deleting any other upper dots,,,,,deleting_other_dots,,Embellished Animation Unnecessary
9,sum,3,2,1,4,"animation makes the transition clearer, but the animation of 3rd and 4th chart is confusing",bad:confusing,bad:confusing,,,,,Couldn't Follow Complex Animations
10,avg,2,1,3,4,"1st is my favorite as the middle line shows the average before merging the data points. 2nd is actually a bit confusing in my opinion, though I still understand what it's trying to convey. 3rd seems a bit like a sum operation instead. 4th is simply too abrupt to catch.",bad:confusing,good:avg_line,bad:looks_like_sum,bad:abrupt,,,Animation Should Be Slower
11,sum,3,1,2,4,How easy it was to follow what was going on.  The one I ranked third was cool but kinda confusing,bad:confusing,,,,good:easier-to-track,,Couldn't Follow Complex Animations
12,sum,2,3,1,4,I like the 1st one because it seems to be merging the values which is how I usually visualize the summation. The second one is easy to understand but why it splits into the different sections is a little bit confusing. Having a bad merging animation in 3 is better than no animation in 4. ,bad:confusing,,"good:collapsing, good:seems_like_summing",bad:no-animation,,Clear metaphor,
13,count,4,3,2,1,The line and fancy transition for my 3rd and 4th pick were kind of confusing.,bad:confusing,bad:confusing,,,,,Couldn't Follow Complex Animations
14,sum,3,1,2,4,"The gathering of dots was helpful.  The one where they went diagonal was confusing, but still better than the static one",bad:confusing,,,,,,Couldn't Follow Complex Animations
15,median,2,1,3,4,"Splitting the points into those above and below the median was helpful. Iterating through each pair was more confusing, but got the idea across better than the fade or abrupt change.",bad:confusing,,,bad:abrupt,good:separating,,
16,iqr,2,1,3,4,"Seeing the dots split up into their quartiles before marking the average and interquartiles is helpful. The top rated chart shows this effectively, while the second rated chart does it a little more oddly due to the distribution of the data and how points are added to a quartile.",bad:counting_oddly,,,,good:separating,,
17,count,2,1,4,3,"The way the transition order my first choice makes the most sense since it's just getting a count for the data point. my 2nd choice is doing a similar thing but the animation is a little cranky. My third choice directly shows the result without any transition in between, which i think it's better than the misleading transition that my 4th choice gives.",bad:cranky,good:seems-like-counting,bad:direct-is-misleading,,,,
18,stdev,4,3,1,2,I think that the delay between the top and bottom half coming in on the two rightmost animations is too slow.,bad:delay-between-two-halves,bad:delay-between-two-halves,,,,,Animation Should Be Slower
19,sum,4,3,1,2,"Same as before, the last two simply detract from the information that is put forward",bad:distracting,bad:distracting,,,,,
20,stdev,2,1,3,4,"I found the distance from the average to be less helpful for this visualization, so I picked the gradual one first, followed by the histogram-like viz, and then the fading and abrupt versions.",bad:distance_from_mean,,,,,,
21,iqr,2,1,3,4,"Same logic as my median choices: 1st vs 2nd is close, but the animation still detracts a bit in my opinion. 3rd vs 4th, the animation helps a bit, but it's still hard to distinguish this from what could potentially be a mean + std dev animation.",bad:distracting,,bad:hard-to-tell-what-it-is,"bad:hard-to-tell-what-it-is, bad:no-animation",same as median,,
22,max,2,2,1,3,How clear that the maximum was being shown. The right one was sort of distracting with the lines coming out.,bad:distracting,,,,,,Embellished Animation unnecessary
23,median,3,1,2,4,"What was the least distracting and what made the most sense. It didn't make sense for the median to just appear between them, but the animations of the right-most one were very distracting.",bad:distracting,,,,,,Couldn't Follow Complex Animations
24,stdev,2,1,3,4,The 1st ranked one was clearer than the 3rd and 4th while the 2nd was a bit too distracting,bad:distracting,,,,,,Couldn't Follow Complex Animations
25,median,2,1,3,4,"Close call between my 1st/2nd choice, but I personally thought the animation in my 2nd choice distracted a bit (perhaps this was from seeing the 1st choice animation in the 72 previous questions). For the 3rd vs 4th, the transition was a bit better, but it's still pretty hard to tell what either are doing.",bad:distracting,,bad:hard-to-tell-what-it-is,bad:hard-to-tell-what-it-is,,,Embellished animation unnecessary
26,median,4,1,2,3,"I liked how it showed removing from the top and bottom, but doing it one by one was kind of annoying to watch and distracting",bad:distracting,,,,,,Annoying
27,median,3,2,1,4,I like the 1st choice because it shows clearly that it is focusing on the median. For 2nd and 3rd they are kind of distracting with the colors and transitions. 4th did not have a transition at all.,bad:distracting,bad:distracting,good:explanation,bad:abrupt,,,Couldn't Follow Complex Animations
28,sum,3,2,1,4,The 1st place one was not distracting which helped to focus my attention on the y axis. The next two did something similar but I felt that they were too distracting and hindered my ability to see the transformation.,bad:distracting,bad:distracting,good:axis_change,,,,Couldn't Follow Complex Animations
