Tags (Positive),Tags (Negatives),Agg,Rank1,Rank2,Rank3,"Rationale (From the left, 1st = Static, 2nd = Baseline, 3rd = Simple, 4th = Elaborate)"
,Embellished Animation Unnecessary,count,static,baseline,elaborate,"For the first one, it was slow enough so I could see what was happening. I didn't think the fourth one was that good because it's not necessary to plot the points for each count and it confused me"
,Couldn't Follow Complex Animations,count,static,baseline,simple,The line and fancy transition for my 3rd and 4th pick were kind of confusing.
,Embellished Animation Unnecessary,count,static,baseline,simple,Transition the axes after transitioning the points. Having a reference line helps a lot.
,,iqr,static,baseline,simple,"While I liked the segmenting around the median, it didn't work in this situation"
,Animation Should Be Faster,max,static,baseline,simple,"Again, maximum is an easy and well known concept to present. The 1st one has the shortest animation time, cut to the chase."
,Embellished Animation Unnecessary,max,static,baseline,simple,"The first one is most simple, it is obvious that the everything that disappeared are values that are not the maximum. I liked the second one as well, but thought the transition was a little slow. I wasn't sure what the purpose of the lines were on the 3rd one, so I ranked it last."
,Embellished Animation Unnecessary,min,static,baseline,simple,"Same rationale as the maximum, minimum is an easy concept to present and doesn't need that much animation"
,Animation Should Be Faster,min,static,baseline,simple,"The ones with animations were too slow, it didn't seem like they were communicating anything"
,Couldn't Follow Complex Animations,stdev,static,baseline,simple,"All 4 were about as hard, but having the transitions easing in made it slightly better."
,Couldn't Follow Complex Animations,sum,static,baseline,simple,"None of them showed me the sum in a followable way, I just had to trust they were correct"
,,count,static,simple,baseline,The animation of the graphs in 1st place was nice
,Animation Unnecessary,max,static,simple,baseline,I felt that no animation was necessary to show that the topmost element is the maximum of each set.
,Animation Should Be Faster,max,static,simple,baseline,"It is very obvious with the first one that it is the maximum, 2nd one animation was too slow"
,Animation Unnecessary,max,static,simple,baseline,it's better to show maximum by only deleting other lower dots
,Animation Unnecessary,max,static,simple,baseline,Max is easy to understand. Animation are just a waste of time. I could possibly see the animation I ranked 2 (the one where a bar appears) being useful if there's a cluster of similar data points at the top.
,Animation Should Be Faster,max,static,simple,baseline,Simplicity is best for max and i felt that the second too were too slow and took too long
,Embellished Animation Unnecessary,max,static,simple,baseline,"While the one ranked first didn't have anything fancy, looking for max should be simple and this does that"
,Embellished Animation Unnecessary,min,static,simple,baseline,it's better to show minimum by deleting any other upper dots
,,min,static,simple,baseline,Same ranking as the one before for the same reasons
,Animation Unnecessary,min,static,simple,baseline,"See answer for max. Animations are less helpful for obvious cases, but a line could be useful if the data clusters at min."
,Animation Unnecessary,min,static,simple,baseline,"Similar to my answer for maximum, I felt that no animation was necessary. That being said, the line-drawing animation felt easier to see than the fade-out."
,Animation Should Be Faster,min,static,simple,baseline,The second too are too slow and take too long for a minimum
,,stdev,static,simple,elaborate,The 1st place graph is much more clear than the other ones
,Embellished Animation Unnecessary,avg,simple,baseline,elaborate,Displaying the average before the transition helps with finding the value but the extra animation in the last transition just makes the animation too cluttered.
,,avg,simple,baseline,elaborate,I felt that the animation that draws a line and collapses them was the easies to understand.
,,avg,simple,baseline,elaborate,"i like that it shows the average first, helps distinguish it from being a median"
,,avg,simple,baseline,elaborate,I liked following the dots to see where they were going with the line indication
,,avg,simple,baseline,elaborate,I liked how the line for my first choice made it clear how it was the average.
,,avg,simple,baseline,elaborate,"I liked that the top ranked one showed the eventual destination of the points, although the 2nd ranked one was also effective. The 3rd ranked one was unnecessarily complicated, and the 4th one  was too abrupt."
,,avg,simple,baseline,elaborate,Seeing the values move made it easier to tell exactly where they were going
,"Couldn't Follow Complex Animations, Extra Complexity Unnecessary",iqr,simple,baseline,elaborate,"1st is simple, like in the median example. 2nd is also simple because often interquartile will line up exactly on a point. 3rd is very fancy looking and again very distracting, although explains the algorithm you might consider pretty well. 4th option is a jump cut and disorienting."
,Couldn't Follow Complex Animations,iqr,simple,baseline,elaborate,"Assigning four colors to each quartile is extremely helpful, however, the last transition is a bit too fast to understand what is going on"
,Couldn't Follow Complex Animations,iqr,simple,baseline,elaborate,"I like how the 1st graph utilizes hue to showcase the various quartiles and how they make up the resulting box plot. The 3rd graph again suffers from too many transitions that speed up too quickly at the end, which cause me to replay the animation again to understand the changes. The 4th animation needed to be replayed multiple times, as the change is immediate and does not show me how the data relates to the resulting box plot."
,,iqr,simple,baseline,elaborate,"In the third animation which I ranked #1, it was helpful to see which points marked the edges of the quartile"
,,iqr,simple,baseline,elaborate,The same reason as the previous question. It just came more intuitive to me.
,Couldn't Follow Complex Animations,iqr,simple,baseline,elaborate,"The top option got the idea across the clearest and at the right speed. This time, the faster, more complicated viz on the right was overly complicated and I picked the fading one before it. The abrupt transition got last place."
,Couldn't Follow Complex Animations,median,simple,baseline,elaborate,"At first, I did not like the animation I chose 1st, because I did not understand what the animation is trying to show me. Now, I understand the color coding shows you which data points are above the median and which are below, which helps me understand how the median relates to the data points. While I found the use of hue helpful, I still preferred the 2nd graph to the 3rd because I am not a fan of the step transition, especially because it speeds up towards the end, leaving me to replay the animation to understand how the data was transformed. The 4th graph suffers from the same problem of me having to replay the animation multiple times to understand how the median was calculated."
,,median,simple,baseline,elaborate,i like that it shows the two sides before fading it out. helps show its a median
,,median,simple,baseline,elaborate,I liked how my first choice had the green and orange representing the two halves around the median.
,,median,simple,baseline,elaborate,Showing the split of values greater/lesser than the median really drives the point home.
,Embellished Animation Unnecessary,median,simple,baseline,elaborate,The coloring and animation on the rightmost one is too much but the third one is enough and is easier to understand that it is the median.
,,median,simple,baseline,elaborate,The separation of points to show how many were on each side of the chosen dots made it clear that this was a median operation
