id,correctAgg,answered,isError,playCount,resetCount,compTime,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
0,sum,sum,FALSE,3,2,102544,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
1,min,min,FALSE,1,0,6840,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
10,sum,sum,FALSE,2,1,12170,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
11,avg,avg,FALSE,4,3,33474,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
12,stdev,stdev,FALSE,1,0,8518,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
13,max,max,FALSE,2,1,7389,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
14,iqr,iqr,FALSE,1,0,6815,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
15,min,min,FALSE,2,1,6184,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
16,count,count,FALSE,1,0,7869,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
17,max,max,FALSE,2,1,6855,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
